,Sample Name,Source Plate Name,Source Well,Destination Well,Transfer Volume,Destination Plate Name,Source Plate Type
419,PBS,af_src001,I9,C6,2000,dest_plate,384PP_AQ_BP
420,PBS,af_src001,I9,C8,1200,dest_plate,384PP_AQ_BP
421,PBS,af_src001,I9,C9,1550,dest_plate,384PP_AQ_BP
422,PBS,af_src001,I9,C10,1750,dest_plate,384PP_AQ_BP
423,PBS,af_src001,I9,C11,1850,dest_plate,384PP_AQ_BP
424,PBS,af_src001,I9,C12,1950,dest_plate,384PP_AQ_BP
425,PBS,af_src001,I10,C14,1325,dest_plate,384PP_AQ_BP
426,PBS,af_src001,I10,C15,2000,dest_plate,384PP_AQ_BP
427,PBS,af_src001,I9,C17,1200,dest_plate,384PP_AQ_BP
428,PBS,af_src001,I10,C18,1550,dest_plate,384PP_AQ_BP
429,PBS,af_src001,I10,C19,1750,dest_plate,384PP_AQ_BP
430,PBS,af_src001,I10,C20,1850,dest_plate,384PP_AQ_BP
431,PBS,af_src001,I10,C21,1950,dest_plate,384PP_AQ_BP
432,PBS,af_src001,I10,C23,1325,dest_plate,384PP_AQ_BP
433,PBS,af_src001,I10,C24,2000,dest_plate,384PP_AQ_BP
434,PBS,af_src001,I10,D2,1200,dest_plate,384PP_AQ_BP
435,PBS,af_src001,I10,D3,1550,dest_plate,384PP_AQ_BP
436,PBS,af_src001,I10,D4,1750,dest_plate,384PP_AQ_BP
437,PBS,af_src001,I10,D5,1850,dest_plate,384PP_AQ_BP
438,PBS,af_src001,I10,D6,1950,dest_plate,384PP_AQ_BP
439,PBS,af_src001,I10,D8,1325,dest_plate,384PP_AQ_BP
440,PBS,af_src001,I10,D9,2000,dest_plate,384PP_AQ_BP
441,PBS,af_src001,I10,D11,1200,dest_plate,384PP_AQ_BP
442,PBS,af_src001,I10,D12,1550,dest_plate,384PP_AQ_BP
443,PBS,af_src001,I10,D13,1750,dest_plate,384PP_AQ_BP
444,PBS,af_src001,I10,D14,1850,dest_plate,384PP_AQ_BP
445,PBS,af_src001,I10,D15,1950,dest_plate,384PP_AQ_BP
446,PBS,af_src001,I10,D17,1325,dest_plate,384PP_AQ_BP
447,PBS,af_src001,I10,D18,2000,dest_plate,384PP_AQ_BP
448,PBS,af_src001,I10,D20,1200,dest_plate,384PP_AQ_BP
449,PBS,af_src001,I10,D21,1550,dest_plate,384PP_AQ_BP
450,PBS,af_src001,I11,D22,1750,dest_plate,384PP_AQ_BP
451,PBS,af_src001,I11,D23,1850,dest_plate,384PP_AQ_BP
452,PBS,af_src001,I11,D24,1950,dest_plate,384PP_AQ_BP
453,PBS,af_src001,I11,E2,1325,dest_plate,384PP_AQ_BP
454,PBS,af_src001,I11,E3,2000,dest_plate,384PP_AQ_BP
455,PBS,af_src001,I11,E5,1200,dest_plate,384PP_AQ_BP
456,PBS,af_src001,I11,E6,1550,dest_plate,384PP_AQ_BP
457,PBS,af_src001,I11,E7,1750,dest_plate,384PP_AQ_BP
458,PBS,af_src001,I11,E8,1850,dest_plate,384PP_AQ_BP
459,PBS,af_src001,I11,E9,1950,dest_plate,384PP_AQ_BP
460,PBS,af_src001,I11,E11,1325,dest_plate,384PP_AQ_BP
461,PBS,af_src001,I11,E12,2000,dest_plate,384PP_AQ_BP
462,PBS,af_src001,I11,E14,1200,dest_plate,384PP_AQ_BP
463,PBS,af_src001,I11,E15,1550,dest_plate,384PP_AQ_BP
464,PBS,af_src001,I11,E16,1750,dest_plate,384PP_AQ_BP
465,PBS,af_src001,I11,E17,1850,dest_plate,384PP_AQ_BP
